customer_id,signup_date,country,plan_type,monthly_price,usage_hours,ticket_count,churned,monthly_revenue,churned_flag,tenure_days,usage_level,support_intensity,revenue_tier
1,2021-04-13,Australia,Basic,20,5.51,2,No,20,0,1708,Medium,Moderate,Low
2,2022-03-12,USA,Standard,70,21.06,2,No,70,0,1375,High,Moderate,High
3,2023-05-11,USA,Basic,70,4.99,1,No,70,0,950,Low,Moderate,High
4,2021-09-28,UK,Standard,70,27.36,3,Yes,70,1,1540,High,Moderate,High
5,2021-04-17,Australia,Standard,70,1.65,3,Yes,70,1,1704,Low,Moderate,High
6,2021-03-13,Canada,Basic,70,14.03,1,No,70,0,1739,Medium,Moderate,High
7,2022-12-02,UK,Premium,70,8.27,1,No,70,0,1110,Medium,Moderate,High
8,2021-01-21,Australia,Basic,40,3.0,1,No,40,0,1790,Low,Moderate,Mid
9,2022-09-07,Canada,Basic,40,2.99,1,No,40,0,1196,Low,Moderate,Mid
10,2021-05-02,UK,Standard,20,9.21,2,No,20,0,1689,Medium,Moderate,Low
11,2022-04-12,Australia,Basic,40,7.75,1,No,40,0,1344,Medium,Moderate,Mid
12,2021-08-03,USA,Basic,70,2.86,1,No,70,0,1596,Low,Moderate,High
13,2021-11-27,USA,Standard,40,6.25,1,No,40,0,1480,Medium,Moderate,Mid
14,2022-04-04,Australia,Standard,20,13.87,1,No,20,0,1352,Medium,Moderate,Low
15,2021-03-29,USA,Basic,70,3.72,0,No,70,0,1723,Low,None,High
16,2022-01-08,Australia,Premium,40,9.04,4,Yes,40,1,1438,Medium,High,Mid
17,2021-04-10,Canada,Standard,40,14.39,0,No,40,0,1711,Medium,None,Mid
18,2023-05-22,Australia,Premium,20,6.99,3,No,20,0,939,Medium,Moderate,Low
19,2022-10-26,Canada,Basic,70,3.17,0,No,70,0,1147,Low,None,High
20,2021-05-11,UK,Standard,20,11.33,1,Yes,20,1,1680,Medium,Moderate,Low
21,2022-10-24,Australia,Premium,70,3.64,3,Yes,70,1,1149,Low,Moderate,High
22,2021-11-05,UK,Standard,70,11.41,0,No,70,0,1502,Medium,None,High
23,2023-02-09,USA,Standard,40,9.52,0,No,40,0,1041,Medium,None,Mid
24,2021-12-10,Canada,Basic,20,17.81,2,No,20,0,1467,Medium,Moderate,Low
25,2022-05-07,Australia,Basic,20,7.36,0,No,20,0,1319,Medium,None,Low
26,2022-02-18,UK,Basic,20,26.04,0,Yes,20,1,1397,High,None,Low
27,2023-03-17,Canada,Basic,70,14.49,4,No,70,0,1005,Medium,High,High
28,2022-01-21,Canada,Premium,20,20.31,3,No,20,0,1425,High,Moderate,Low
29,2021-07-11,USA,Basic,70,8.2,2,No,70,0,1619,Medium,Moderate,High
30,2021-10-04,USA,Premium,20,6.3,0,Yes,20,1,1534,Medium,None,Low
31,2021-06-10,Canada,Premium,20,3.43,0,No,20,0,1650,Low,None,Low
32,2022-04-05,Canada,Basic,40,5.66,0,No,40,0,1351,Medium,None,Mid
33,2021-11-10,Australia,Basic,20,8.26,0,No,20,0,1497,Medium,None,Low
34,2021-01-22,Canada,Premium,40,16.27,1,No,40,0,1789,Medium,Moderate,Mid
35,2021-09-10,Australia,Premium,40,8.84,0,No,40,0,1558,Medium,None,Mid
36,2023-01-18,Canada,Basic,70,4.0,2,No,70,0,1063,Low,Moderate,High
37,2023-05-07,USA,Basic,20,2.65,1,No,20,0,954,Low,Moderate,Low
38,2022-07-15,Australia,Standard,20,4.58,1,No,20,0,1250,Low,Moderate,Low
39,2022-04-20,UK,Standard,20,4.11,3,No,20,0,1336,Low,Moderate,Low
40,2021-02-28,USA,Basic,40,19.5,0,No,40,0,1752,Medium,None,Mid
41,2022-05-26,Australia,Standard,20,6.61,1,No,20,0,1300,Medium,Moderate,Low
42,2022-11-13,Australia,Basic,70,2.6,0,No,70,0,1129,Low,None,High
43,2022-04-21,UK,Basic,70,11.74,0,No,70,0,1335,Medium,None,High
44,2022-12-01,Australia,Basic,20,8.75,1,Yes,20,1,1111,Medium,Moderate,Low
45,2023-02-22,Canada,Basic,40,10.56,0,No,40,0,1028,Medium,None,Mid
46,2021-07-09,UK,Basic,70,8.97,1,Yes,70,1,1621,Medium,Moderate,High
47,2022-11-18,USA,Basic,70,5.71,3,No,70,0,1124,Medium,Moderate,High
48,2022-07-17,USA,Basic,40,5.0,2,Yes,40,1,1248,Low,Moderate,Mid
49,2023-05-26,Canada,Basic,70,1.34,1,Yes,70,1,935,Low,Moderate,High
50,2022-07-21,USA,Basic,40,7.85,2,No,40,0,1244,Medium,Moderate,Mid
51,2021-09-01,Australia,Premium,70,15.47,1,No,70,0,1567,Medium,Moderate,High
52,2023-04-12,Australia,Basic,40,16.08,1,No,40,0,979,Medium,Moderate,Mid
53,2022-05-20,Canada,Basic,70,5.21,0,Yes,70,1,1306,Medium,None,High
54,2021-05-11,USA,Standard,20,23.25,1,No,20,0,1680,High,Moderate,Low
55,2022-04-30,USA,Premium,70,2.51,1,No,70,0,1326,Low,Moderate,High
