customer_id,signup_date,country
1,2021-04-13,Australia
2,2022-03-12,USA
3,2023-05-11,USA
4,2021-09-28,UK
5,2021-04-17,Australia
6,2021-03-13,Canada
7,2022-12-02,UK
8,2021-01-21,Australia
9,2022-09-07,Canada
10,2021-05-02,UK
11,2022-04-12,Australia
12,2021-08-03,USA
13,2021-11-27,USA
14,2022-04-04,Australia
15,2021-03-29,USA
16,2022-01-08,Australia
17,2021-04-10,Canada
18,2023-05-22,Australia
19,2022-10-26,Canada
20,2021-05-11,UK
21,2022-10-24,Australia
22,2021-11-05,UK
23,2023-02-09,USA
24,2021-12-10,Canada
25,2022-05-07,Australia
26,2022-02-18,UK
27,2023-03-17,Canada
28,2022-01-21,Canada
29,2021-07-11,USA
30,2021-10-04,USA
31,2021-06-10,Canada
32,2022-04-05,Canada
33,2021-11-10,Australia
34,2021-01-22,Canada
35,2021-09-10,Australia
36,2023-01-18,Canada
37,2023-05-07,USA
38,2022-07-15,Australia
39,2022-04-20,UK
40,2021-02-28,USA
41,2022-05-26,Australia
42,2022-11-13,Australia
43,2022-04-21,UK
44,2022-12-01,Australia
45,2023-02-22,Canada
46,2021-07-09,UK
47,2022-11-18,USA
48,2022-07-17,USA
49,2023-05-26,Canada
50,2022-07-21,USA
51,2021-09-01,Australia
52,2023-04-12,Australia
53,2022-05-20,Canada
54,2021-05-11,USA
55,2022-04-30,USA
56,2023-03-30,Canada
57,2022-10-09,UK
58,2021-01-21,USA
59,2023-04-21,UK
60,2021-06-16,USA
61,2021-10-01,USA
62,2022-01-23,USA
63,2022-08-24,USA
64,2021-11-12,Australia
65,2021-01-14,UK
66,2021-08-30,UK
67,2023-02-16,USA
68,2021-12-12,USA
69,2022-07-19,UK
70,2023-06-17,Australia
71,2021-12-06,Canada
72,2021-04-02,Canada
73,2022-01-02,UK
74,2022-03-31,USA
75,2022-03-04,USA
76,2022-05-24,Australia
77,2023-02-15,Canada
78,2021-02-04,Australia
79,2021-07-25,Canada
80,2021-03-22,UK
81,2022-07-16,Canada
82,2023-05-22,Australia
83,2022-01-23,Australia
84,2021-01-02,Australia
85,2022-01-25,UK
86,2022-07-20,Canada
87,2021-04-16,Canada
88,2023-02-11,Australia
89,2023-04-02,Canada
90,2022-04-22,USA
91,2022-12-04,USA
92,2022-02-06,USA
93,2022-12-31,Canada
94,2022-07-10,UK
95,2021-06-11,UK
96,2021-07-21,UK
97,2021-09-27,UK
98,2023-05-13,USA
99,2023-03-27,USA
100,2021-09-28,Australia
101,2022-04-01,Canada
102,2022-04-07,Canada
103,2022-12-28,UK
104,2021-09-09,USA
105,2022-12-03,UK
106,2021-10-23,Australia
107,2022-12-26,Canada
108,2022-12-21,Canada
109,2023-01-19,UK
110,2021-12-04,Australia
111,2023-05-29,Canada
112,2021-02-22,Australia
